  18  106   28  126   110
X (abs(X) < 0.90 cm; step 0.10 cm) vs. X divergence (abs(dvrgX) < 5.3 mr; step 0.10 mr) [based on neutrons]
     0     0     0     0     0     1     2     1     0     1     1     0     0     1     3     2     0     0     1     4     2     4     2     1     0     1     4     0
     0     0     0     0     0     2     0     1     1     1     4     3     2     3     0     0     2     0     1     3     0     1     3     0     2     2     1     1
     1     0     0     0     0     0     0     1     0     0     2     2     2     0     0     3     1     2     0     1     2     0     1     0     0     1     0     1
     0     0     0     0     1     2     1     0     0     0     0     0     0     0     1     1     1     1     2     0     0     0     1     1     3     1     0     0
     0     0     0     0     0     0     1     0     0     0     2     1     0     1     1     2     0     0     2     1     3     1     2     0     0     1     1     2
     0     0     0     1     3     0     0     0     1     1     1     0     0     1     0     1     0     1     2     0     2     1     1     1     0     0     3     1
     0     0     0     0     1     0     0     0     0     1     2     1     0     0     0     1     1     1     3     0     1     1     4     1     0     1     4     1
     0     0     0     0     0     0     0     0     1     1     0     1     0     1     1     1     0     1     1     0     0     2     0     1     1     0     0     3
     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     1     0     1     1     0     1     4     1     0     1     1     1     1
     0     0     0     1     2     0     1     0     1     0     0     1     3     0     2     0     1     0     1     0     0     1     0     1     1     1     4     1
     0     0     0     0     0     0     2     0     0     1     0     1     0     1     1     1     1     1     0     0     0     0     2     2     2     0     1     0
     0     1     0     0     0     1     0     0     0     0     3     1     1     0     1     4     1     2     1     4     1     2     1     2     1     0     2     2
     0     0     0     0     0     0     0     1     0     0     0     2     2     2     1     1     1     0     1     1     2     1     2     2     2     1     2     2

